Rang;Mannschaft;Spiele;Siege;Unentschieden;Niederlagen;Tore;Gegentore;Punkte
1;Borussia Dortmund;8;6;1;1;23;5;19
2;FC Bayern Muenchen;8;5;2;1;21;7;17
3;RB Leipzig;8;5;1;2;15;10;16
4;Hoffenheim;8;4;3;1;15;10;15
5;Borussia Moenchengladbach;8;4;2;2;12;12;14
6;Schalke 04;8;4;1;3;10;9;13
7;Eintracht Frankfurt;8;4;1;3;8;7;13
8;FC Augsburg;8;3;3;2;11;8;12
9;Hannover 96;8;3;3;2;8;6;12
10;Mainz 05;8;3;1;4;10;13;10
11;VfB Stuttgart;8;3;1;4;6;10;10
12;Bayer Leverkusen;8;2;3;3;15;13;9
13;Hertha BSC;8;2;3;3;8;10;9
14;VfL Wolfsburg;8;1;5;2;8;11;8
15;Hamburger SV;8;2;1;5;6;14;7
16;SC Freiburg;8;1;4;3;5;16;7
17;Werder Bremen;8;0;4;4;3;9;4
18;1. FC Koeln;8;0;1;7;3;17;1
